Municipio;Codigo;Orden;U. Genera;Ejecucion;Duracion Odt;latitud;longitud
OSPINA;316794;25845151;Facturacion;2023-05-04 12:44;00:21 Min;1.0469808;-77.5710187
OSPINA;316754;25845154;Facturacion;2023-05-04 11:43;00:13 Min;1.0506878;-77.5766403
OSPINA;316728;25845156;Facturacion;2023-05-04 11:25;00:12 Min;1.0557758;-77.57944
OSPINA;316722;25845159;Facturacion;2023-05-04 11:09;00:11 Min;1.0559469;-77.5780378
MALLAMA;629210;25845242;Facturacion;2023-05-09 14:41;00:19 Min;1.1223052;-77.7879548
MALLAMA;629202;25845264;Facturacion;2023-05-09 14:22;00:08 Min;1.1229449;-77.787504
MALLAMA;629188;25845266;Facturacion;2023-05-09 13:14;00:14 Min;1.1209628;-77.7852553
MALLAMA;629174;25845268;Facturacion;2023-05-11 17:07;00:14 Min;1.0869116;-77.6199467
MALLAMA;542102;25845270;Facturacion;2023-05-11 09:13;00:49 Min;1.1227557;-77.7910082
TUQUERRES;1176986;25845276;Facturacion;2023-05-04 14:29;00:08 Min;1.0892654;-77.6225336
TUQUERRES;1180360;25845310;Ges. Energetica;2023-05-04 07:32;00:43 Min;1.0786339044570923;-77.61805725097656
TUQUERRES;1180582;25845315;Ges. Energetica;2023-05-04 14:13;01:38 Min;1.0783560276031494;-77.61805725097656
TUQUERRES;1180403;25845322;Ges. Energetica;2023-05-04 16:31;02:13 Min;1.0783332586288452;-77.61805725097656
SAPUYES;1137666;25845332;Facturacion;2023-05-15 12:24;00:37 Min;1.0370352;-77.6211452
MALLAMA;528723;25845339;Ges. Energetica;2023-05-09 10:31;01:21 Min;1.1071963;-77.8278355
TUQUERRES;1198079;25845353;Facturacion;2023-05-04 15:27;00:27 Min;1.0865459;-77.6189174
MALLAMA;8564899;25847360;Ges. Energetica;2023-05-05 13:00;00:48 Min;1.1443813;-77.8677673
MALLAMA;8564900;25847431;Ges. Energetica;2023-05-09 12:00;00:55 Min;1.1425751;-77.8653242
TUQUERRES;1182134;25847439;Facturacion;2023-05-08 11:05;00:14 Min;1.0778362;-77.6175553
TUQUERRES;1182156;25847444;Facturacion;2023-05-06 09:34;00:17 Min;1.0779107;-77.6173744
TUQUERRES;1182173;25847446;Facturacion;2023-05-08 12:03;00:06 Min;1.0778871;-77.6174361
TUQUERRES;1182197;25847449;Facturacion;2023-05-08 10:48;00:16 Min;1.0778003;-77.6175441
TUQUERRES;1182051;25847454;Facturacion;2023-05-08 11:35;00:12 Min;1.0777722;-77.6175866
TUQUERRES;1182172;25847462;Facturacion;2023-05-06 08:38;00:18 Min;1.0780136;-77.6173365
