Codigo;Orden;latitud;longitud
353438;24562988;1.6068292;-77.131357
1230033;24563618;1.6010259;-77.1321991
1098057;24566917;1.6118293;-77.1308757
351444;24569887;1.6052807;-77.1325698
1030578;24570160;1.5947872;-77.0959205
358220;24570310;1.5786288;-77.1305487
1099610;24648661;1.6001088;-77.1281493
353794;24648822;1.6004824;-77.1303209
8540542;24648950;1.5920633;-77.1342718
8562423;24649337;1.5696757;-77.2845065
8562429;24649426;1.5717102;-77.2825436
8562432;24649501;1.6716889;-77.3323928
8562439;24649667;1.5684346;-77.2829841
1186894;24650962;1.6041261;-77.1311562
1042980;24651350;1.588543;-77.207756
8532819;24651387;1.6076035;-77.1316062
1012687;24651555;1.5478767;-77.1200075
446032;24651597;1.6031432;-77.1315524
1118932;24651664;1.6269005;-77.1411035
355950;24651893;1.5866683;-77.1819433
589738;24652125;1.603507;-77.1315465
352098;24652230;1.5947662;-77.1324472
1137035;24652276;1.6052535;-77.1317115
1118239;24652320;1.6052617;-77.1316762
538461;24652348;1.6051316;-77.1319113
1015174;24652350;1.6486834;-77.1042902
1001597;24652454;1.6116739;-77.1260244
359786;24652676;1.5957748;-77.1973191
8521368;24652686;1.5971826;-77.1863107
1046401;24652690;1.6730301;-77.3315865
8542658;24652696;1.6468659;-77.3522316
1075784;24652697;1.6459712;-77.3499592
8562485;24652798;1.5951598;-77.1312139
8562487;24652819;1.5951217;-77.1311967
1168241;24652886;1.5045473;-77.2146425
8562489;24652923;1.6266167;-77.1777433
8562490;24652966;1.6054842;-77.1301168
8562491;24653015;1.59401;-77.132435
8562492;24653031;1.6067923;-77.1315178
8562493;24653109;1.5907247;-77.1346908
8562497;24654384;1.6323492;-77.1734125
8562499;24654481;1.6139288;-77.1372006
1170777;24665004;1.5935357;-77.1498405
1168655;24665241;1.5712377;-77.2790326
8521397;24665291;1.4507404;-77.1179576
1168655;24665299;1.5712086;-77.2791051
411484;24665764;1.6236454;-77.2332955
8562525;24665998;1.5893047;-77.133039
8562530;24666076;1.589509;-77.1329147
8521548;24666154;1.4697016;-77.1329903
1082882;24666158;1.4562908;-77.1110863
1241850;24666161;1.4677869;-77.1031105
1033283;24666165;1.5987313;-77.1956339
1074237;24666168;1.599319;-77.1873478
1150146;24666173;1.6018046;-77.1866864
8562536;24666175;1.5990379;-77.1322048
1189356;24666182;1.503689;-77.215302
1177802;24666185;1.5024098;-77.2096588
374800;24666189;1.5094398;-77.2480978
1101403;24666191;1.5084536;-77.2572574
174162;24666207;1.5706577;-77.2799499
8562539;24666234;1.5990111;-77.1321982
1140521;24666249;1.612204;-77.2781273
8562548;24666332;1.60593;-77.132285
8562558;24666406;1.5311833;-77.095035
1034653;24670042;1.5187817;-77.0963979
1209157;24696771;1.6044831;-77.1323128
1109576;24697607;1.5248946;-77.0906198
8548174;24699285;1.6022658;-77.1297526
449044;24699604;1.5299996;-77.2472217
