Codigo;Orden;latitud;longitud
193156;24651365;1.4719363,-77.0810466;
645011;24651438;1.4704326,-77.0022278;
1099081;24651452;1.4768499,-76.9791359;
1065537;24651681;1.6531891,-77.0013364;
1166265;24652281;1.6685658,-77.0126452;
8562474;24652603;1.5698122,-77.0327619;
361482;24664860;1.6689756,-77.0114577;
365724;24664869;1.6531839,-77.0020952;
8562519;24665884;1.4625329,-76.9601153;
8562521;24665903;1.4770354,-77.0199899;
8562523;24665927;1.400238,-77.1241332;
8562527;24666010;1.5816074,-76.9702126;
8562534;24666131;1.5981868,-76.9699881;
8562580;24696479;1.6684904,-77.0123068;
8562582;24696536;1.6642957,-77.0619119;
532625;24696757;1.6019021,-76.9703525;
1086841;24696770;1.5987234,-76.9724124;
463504;24696781;1.5991257,-76.9701757;
371060;24696790;1.6019357,-76.9703216;
1029056;24696796;1.6027758,-76.9679939;
1244599;24696907;1.642652,-77.0190282;
362098;24697214;1.6696734,-77.0118286;
1084123;24697224;1.5983451,-76.9719601;
8562627;24697357;1.6462586,-77.0197114;
8562630;24697437;1.6392229,-77.0290195;
1247196;24697444;1.6000292,-76.9693588;
371088;24697464;1.5999907,-76.9691565;
8562636;24697512;1.6555653,-77.0616739;
8562641;24697647;1.4777385,-77.0192896;
369882;24716114;1.6015629,-76.9712308;
1266168;24716124;1.6573923,-76.9770583;
8553159;24716189;1.638337,-77.0989697;
365942;24716332;1.6399214,-77.0911477;
366254;24716436;1.6623816,-77.0565365;
1003868;24716453;1.670109,-77.0100876;
365738;24716517;1.6552489,-77.003315;
559617;24716528;1.6884295,-77.078616;
635949;24716541;1.6915215,-77.0751932;
398604;24716572;1.6770928,-77.0365598;
564429;24716589;1.685594,-76.9362019;
364044;24716606;1.6932865,-76.959022;
539877;24716620;1.6850824,-76.9577456;
366064;24716668;1.6419907,-77.0963095;
1123607;24716675;1.6685508,-76.9845036;
469474;24716681;1.6642015,-76.9254219;
366390;24716684;1.6745967,-76.9637415;
371522;24716896;1.5951089,-77.0170169;
364744;24717185;1.6808205,-76.9878966;
1073409;24717429;1.6789514,-76.9880882;
1018144;24717440;1.6310895,-77.0850753;
366906;24717464;1.6547893,-77.0519618;
412726;24717475;1.6203607,-77.0748771;
444078;24719377;1.5943672,-77.0154792;
574620;24719528;1.4263131,-77.0442592;
1058573;24719929;1.4727495,-77.0812814;
409536;24719954;1.5969049,-77.0152792;
1233293;24719963;1.5971436,-77.0158451;
1242109;24719990;1.4023322,-77.0832835;
555681;24720054;1.3810954,-77.03299;
1024299;24748681;1.5090265,-77.0504522;
1120737;24748710;1.5128039,-77.0411604;
591962;24748722;1.4517533,-77.0955098;
1207396;24748728;1.4551911,-77.0833799;
613508;24748762;1.473375,-77.0817725;
463544;24748780;1.4733496,-77.0819041;
193030;24748791;1.4772785,-77.0833075;
643939;24748800;1.4743276,-77.0824301;
1043184;24748818;1.5001491,-77.0715703;
1059504;24748868;1.6080268,-77.0157623;
1083815;24748875;1.6080453,-77.0156087;
1022966;24749227;1.4728853,-77.0823292;
8562751;24751121;1.3963249,-77.026615;
8562758;24751206;1.3992312,-77.0253525;
8562759;24751271;1.3966182,-77.026652;
8562761;24751290;1.3954207,-77.0258759;
1081625;24751302;1.6811137,-77.0331256;
1088536;24752219;1.6580442,-77.0657537;
1096866;24752285;1.5974183,-76.9703235;
8562799;24753176;1.4275037,-77.0964421;
1233188;24780350;1.5857081,-76.9643173;
8533941;24781255;1.4713315,-77.0811449;
613768;24781972;1.5957585,-77.020234;
1158226;24782024;1.5964596,-77.0158883;
371292;24782028;1.5954356,-77.0182827;
455418;24782047;1.5949461,-77.0199011;
364340;24807527;1.6850144,-77.0499137;
1125050;24807644;1.6671138,-77.0139223;
361698;24807905;1.668178,-77.0141675;
477804;24807935;1.6075364,-76.9657569;
566129;24807973;1.6679637,-77.0106063;
361664;24807978;1.6679332,-77.0106614;
1157394;24808021;1.5265859,-76.9963937;
196612;24808028;1.3943893,-77.1317305;
1110109;24808068;1.3903572,-77.132532;
1229455;24808087;1.3875757,-77.1376816;
195608;24808090;1.3878234,-77.1368734;
1162925;24808153;1.5928191,-77.015732;
371398;24808160;1.5968986,-77.0148802;
534389;24808170;1.5983018,-76.971995;
1178340;24808179;1.5987248,-76.9736666;
8562861;24808254;1.6710893,-77.0122348;
